@relation BinaryFileDataset

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {jpg,png,exe,pdf,dll,zip}

@data
4000,7.936808,1.00275,0.00325,0.37525,0.00525,0,128.694,130.214,132.298,125.074,127.466,120.154,128.206,127.74,png
4000,7.700193,0.865,0.01775,0.346,0.0175,0,97.74,118.914,125.876,136.394,120.552,116.536,128.628,131.324,png
4000,7.312644,0.78025,0.0305,0.323,0.045,0,105.312,92.614,99.826,96.3,102.608,106.322,108.76,100.452,png
4000,7.929649,1.00275,0.00375,0.35925,0.01175,0,121.512,123.156,128.316,127.338,135.278,129.41,137.972,135.056,png
4000,7.724138,0.90175,0.01575,0.3685,0.00225,0,116.602,101.11,86.63,112.942,125.928,128.18,133.99,129.742,png
4000,7.534634,0.84275,0.01425,0.327,0.056,0,130.458,121.862,125.972,116.594,103.774,88.95,84.738,89.964,png
4000,7.867661,1,0.00325,0.3425,0.00375,0,145.268,134.298,137.204,142.514,151.968,131.41,133.112,137.422,png
4000,7.457203,0.80875,0.02525,0.3145,0.025,0,129.922,127.662,127.45,129.462,118.038,128.976,83.276,70.288,png
4000,7.93378,1.00275,0.00275,0.3655,0.0055,0,129.958,126.04,126.856,132.568,130.304,117.27,123.084,124.928,png
4000,7.779969,0.9345,0.01275,0.34375,0.0245,0,126.406,130.832,126.182,118.984,125.026,113.756,125.166,125.896,png
4000,7.558059,0.8075,0.019,0.3535,0.05125,0,120.116,115.692,125.094,110.424,129.072,96.702,56.312,84.986,png
4000,7.946676,0.9995,0.00625,0.36975,0.003,0,133.796,122.08,125.814,137.812,127.438,129.782,134.552,134.8,png
4000,7.662615,0.88575,0.01975,0.324,0.03125,0,83.864,92.376,115.302,129.726,124.572,128.8,138.266,133.38,png
4000,7.921269,1.00275,0.0065,0.375,0.0015,0,124.956,128.674,119.42,134.744,132.038,132.978,125.656,130.692,png
4000,7.020335,0.73175,0.0395,0.31225,0.06375,0,106.86,108.164,108.714,110.154,108.462,74.578,59.646,66.614,png
4000,7.928276,1.00275,0.00375,0.3595,0.01025,0,125.748,124.384,137.44,125.126,115.646,124.292,121.138,142.792,png
4000,7.924588,1.00275,0.003,0.368,0.007,0,136.522,132.108,129.224,135.062,127.24,128.986,134.682,131.904,png
4000,7.932121,1.0005,0.00375,0.3605,0.0035,0,136.162,136.034,129.43,123.366,137.168,126.214,130.24,130.538,png
4000,7.051149,0.6005,0.05125,0.31625,0.04325,0,133.596,131.44,135.652,133.318,53.14,53.96,59.548,52.988,png
4000,7.917542,0.99925,0.00375,0.362,0.0095,0,124.356,130.664,129.79,124.626,128.748,121.646,131.414,124.274,png
4000,7.914456,1.00275,0.0025,0.34225,0.00425,0,134.88,135.394,136.058,127.498,133.592,135.24,137.6,133.894,png
4000,7.938329,1.00275,0.005,0.37475,0.0085,0,128.964,124.612,126.464,122.702,123.428,124.756,121.596,126.604,png
4000,7.822918,0.9355,0.00975,0.3415,0.024,0,127.62,126.936,125.994,114.904,128.216,125.068,130.384,129.648,png
4000,7.261778,0.803,0.03075,0.308,0.0585,0,116.864,125.334,120.684,129.768,88.036,76.85,79.288,77.094,png
4000,7.941311,1.00275,0.00225,0.36175,0.00775,0,137.276,121.062,127.256,117.716,126.084,130.078,136.99,131.016,png
4000,7.896196,1.00275,0.0045,0.36075,0.009,0,138.16,129.06,125.42,117.344,117.162,117.2,110.538,120.624,png
4000,7.859076,0.957,0.01125,0.36425,0.02,0,121.666,121.768,123.528,126.774,122.276,127.908,126.62,122.21,png
4000,6.588407,0.514,0.062,0.37425,0.072,0,123.954,138.678,112.922,78.288,58.576,41.688,40.256,40.41,png
4000,7.907839,1.00275,0.00525,0.36225,0.005,0,128.04,129.828,134.664,132.708,130.78,131.816,130.158,133.6,png
4000,7.876305,1.00275,0.0025,0.3315,0.0045,0,140.818,132.994,133.65,135.72,145.25,144.836,139.084,134.9,png
4000,7.930367,1.00025,0.00375,0.348,0.009,0,125.586,128.486,120.89,119.202,127.546,133.592,127.3,127.516,png
4000,7.490156,0.782,0.02925,0.33525,0.02525,0,40.734,101.028,125.456,124.854,128.896,130.946,126.444,124.616,png
4000,7.771118,0.94075,0.01225,0.3555,0.026,0,136.46,124.144,128.596,128.01,131.648,129.75,130.362,98.42,png
4000,7.493648,0.811,0.03475,0.33975,0.00175,0,125.998,140.236,137.498,97.478,70.802,94.476,120.07,147.338,png
4000,7.896218,1.00275,0.00375,0.356,0.0025,0,128.426,128.336,135.952,128.57,135.502,136.154,133.09,135.63,png
4000,6.930104,0.691,0.04675,0.29975,0.0775,0,112.372,116.804,121.798,110.828,96.124,101.158,49.636,42.772,png
